"bg","N","w1","prob","w2"
"jar of",7,"jar",2.99586228620243e-06,"of"
"jaw dropping",5,"jaw",2.13990163300173e-06,"dropping"
"jealous of",18,"jealous",7.70364587880624e-06,"of"
"jeans and",9,"jeans",3.85182293940312e-06,"and"
"jeff fisher",5,"jeff",2.13990163300173e-06,"fisher"
"jefferson city",6,"jefferson",2.56788195960208e-06,"city"
"jefferson county",6,"jefferson",2.56788195960208e-06,"county"
"jenkins and",6,"jenkins",2.56788195960208e-06,"and"
"jeremy lin",6,"jeremy",2.56788195960208e-06,"lin"
"jerry brown",6,"jerry",2.56788195960208e-06,"brown"
"jersey a",5,"jersey",2.13990163300173e-06,"a"
"jersey and",16,"jersey",6.84768522560555e-06,"and"
"jersey city",36,"jersey",1.54072917576125e-05,"city"
"jersey i",5,"jersey",2.13990163300173e-06,"i"
"jersey in",5,"jersey",2.13990163300173e-06,"in"
"jersey on",5,"jersey",2.13990163300173e-06,"on"
"jersey shore",25,"jersey",1.06995081650087e-05,"shore"
"jersey the",5,"jersey",2.13990163300173e-06,"the"
"jesus and",19,"jesus",8.13162620540659e-06,"and"
"jesus as",6,"jesus",2.56788195960208e-06,"as"
"jesus christ",36,"jesus",1.54072917576125e-05,"christ"
"jesus for",5,"jesus",2.13990163300173e-06,"for"
"jesus had",5,"jesus",2.13990163300173e-06,"had"
"jesus i",10,"jesus",4.27980326600347e-06,"i"
"jesus is",9,"jesus",3.85182293940312e-06,"is"
"jesus name",5,"jesus",2.13990163300173e-06,"name"
"jesus said",14,"jesus",5.99172457240486e-06,"said"
"jesus the",5,"jesus",2.13990163300173e-06,"the"
"jesus was",6,"jesus",2.56788195960208e-06,"was"
"jesus will",5,"jesus",2.13990163300173e-06,"will"
"jewelry and",6,"jewelry",2.56788195960208e-06,"and"
"jews in",5,"jews",2.13990163300173e-06,"in"
"jim and",5,"jim",2.13990163300173e-06,"and"
"jimmy carter",7,"jimmy",2.99586228620243e-06,"carter"
"joan thank",6,"joan",2.56788195960208e-06,"thank"
"job after",7,"job",2.99586228620243e-06,"after"
"job and",47,"job",2.01150753502163e-05,"and"
"job as",18,"job",7.70364587880624e-06,"as"
"job at",14,"job",5.99172457240486e-06,"at"
"job but",21,"job",8.98758685860728e-06,"but"
"job creation",10,"job",4.27980326600347e-06,"creation"
"job done",11,"job",4.70778359260381e-06,"done"
"job fair",7,"job",2.99586228620243e-06,"fair"
"job for",10,"job",4.27980326600347e-06,"for"
"job growth",7,"job",2.99586228620243e-06,"growth"
"job he",8,"job",3.42384261280277e-06,"he"
"job i",32,"job",1.36953704512111e-05,"i"
"job if",6,"job",2.56788195960208e-06,"if"
"job im",7,"job",2.99586228620243e-06,"im"
"job in",29,"job",1.24114294714101e-05,"in"
"job interview",5,"job",2.13990163300173e-06,"interview"
"job is",28,"job",1.19834491448097e-05,"is"
"job market",10,"job",4.27980326600347e-06,"market"
"job of",41,"job",1.75471933906142e-05,"of"
"job on",12,"job",5.13576391920416e-06,"on"
"job opportunities",5,"job",2.13990163300173e-06,"opportunities"
"job search",7,"job",2.99586228620243e-06,"search"
"job security",7,"job",2.99586228620243e-06,"security"
"job so",5,"job",2.13990163300173e-06,"so"
"job that",11,"job",4.70778359260381e-06,"that"
"job the",13,"job",5.56374424580451e-06,"the"
"job they",5,"job",2.13990163300173e-06,"they"
"job this",6,"job",2.56788195960208e-06,"this"
"job to",20,"job",8.55960653200694e-06,"to"
"job today",5,"job",2.13990163300173e-06,"today"
"job training",13,"job",5.56374424580451e-06,"training"
"job was",9,"job",3.85182293940312e-06,"was"
"job well",6,"job",2.56788195960208e-06,"well"
"job with",20,"job",8.55960653200694e-06,"with"
"job you",5,"job",2.13990163300173e-06,"you"
"jobless rate",7,"jobless",2.99586228620243e-06,"rate"
"jobs a",5,"jobs",2.13990163300173e-06,"a"
"jobs and",38,"jobs",1.62632524108132e-05,"and"
"jobs are",6,"jobs",2.56788195960208e-06,"are"
"jobs at",9,"jobs",3.85182293940312e-06,"at"
"jobs by",5,"jobs",2.13990163300173e-06,"by"
"jobs in",34,"jobs",1.45513311044118e-05,"in"
"jobs or",9,"jobs",3.85182293940312e-06,"or"
"jobs that",6,"jobs",2.56788195960208e-06,"that"
"jobs the",12,"jobs",5.13576391920416e-06,"the"
"jobs to",14,"jobs",5.99172457240486e-06,"to"
"jobs were",5,"jobs",2.13990163300173e-06,"were"
"jobs with",6,"jobs",2.56788195960208e-06,"with"
"joe and",8,"joe",3.42384261280277e-06,"and"
"joe biden",9,"joe",3.85182293940312e-06,"biden"
"joe smith",5,"joe",2.13990163300173e-06,"smith"
"joey votto",6,"joey",2.56788195960208e-06,"votto"
"john adams",7,"john",2.99586228620243e-06,"adams"
"john and",16,"john",6.84768522560555e-06,"and"
"john boehner",6,"john",2.56788195960208e-06,"boehner"
"john edwards",5,"john",2.13990163300173e-06,"edwards"
"john elway",8,"john",3.42384261280277e-06,"elway"
"john i",5,"john",2.13990163300173e-06,"i"
"john kasich",7,"john",2.99586228620243e-06,"kasich"
"john kasichs",5,"john",2.13990163300173e-06,"kasichs"
"john kennedy",8,"john",3.42384261280277e-06,"kennedy"
"john lennon",5,"john",2.13990163300173e-06,"lennon"
"john mayer",5,"john",2.13990163300173e-06,"mayer"
"john mccain",13,"john",5.56374424580451e-06,"mccain"
"john the",6,"john",2.56788195960208e-06,"the"
"john was",6,"john",2.56788195960208e-06,"was"
"john wayne",7,"john",2.99586228620243e-06,"wayne"
"john wooden",5,"john",2.13990163300173e-06,"wooden"
"johnny depp",8,"johnny",3.42384261280277e-06,"depp"
"johns hopkins",9,"johns",3.85182293940312e-06,"hopkins"
"johnson a",5,"johnson",2.13990163300173e-06,"a"
"johnson and",15,"johnson",6.4197048990052e-06,"and"
"johnson in",5,"johnson",2.13990163300173e-06,"in"
"johnson is",9,"johnson",3.85182293940312e-06,"is"
"johnson said",12,"johnson",5.13576391920416e-06,"said"
"johnson the",5,"johnson",2.13990163300173e-06,"the"
"johnson who",7,"johnson",2.99586228620243e-06,"who"
"join a",11,"join",4.70778359260381e-06,"a"
"join and",7,"join",2.99586228620243e-06,"and"
"join him",8,"join",3.42384261280277e-06,"him"
"join in",18,"join",7.70364587880624e-06,"in"
"join me",20,"join",8.55960653200694e-06,"me"
"join our",6,"join",2.56788195960208e-06,"our"
"join the",72,"join",3.0814583515225e-05,"the"
"join them",5,"join",2.13990163300173e-06,"them"
"join us",86,"join",3.68063080876298e-05,"us"
"join you",5,"join",2.13990163300173e-06,"you"
"join your",6,"join",2.56788195960208e-06,"your"
"joined by",12,"joined",5.13576391920416e-06,"by"
"joined the",36,"joined",1.54072917576125e-05,"the"
"joining in",5,"joining",2.13990163300173e-06,"in"
"joining the",13,"joining",5.56374424580451e-06,"the"
"joining us",17,"joining",7.2756655522059e-06,"us"
"joins the",9,"joins",3.85182293940312e-06,"the"
"joins us",5,"joins",2.13990163300173e-06,"us"
"joint pain",5,"joint",2.13990163300173e-06,"pain"
"joint venture",11,"joint",4.70778359260381e-06,"venture"
"joke about",6,"joke",2.56788195960208e-06,"about"
"joke the",5,"joke",2.13990163300173e-06,"the"
"jokes about",6,"jokes",2.56788195960208e-06,"about"
"jokes and",6,"jokes",2.56788195960208e-06,"and"
"joking about",6,"joking",2.56788195960208e-06,"about"
"jon and",6,"jon",2.56788195960208e-06,"and"
"jon corzine",5,"jon",2.13990163300173e-06,"corzine"
"jonas brothers",7,"jonas",2.99586228620243e-06,"brothers"
"jones and",8,"jones",3.42384261280277e-06,"and"
"jones in",5,"jones",2.13990163300173e-06,"in"
"jones industrial",9,"jones",3.85182293940312e-06,"industrial"
"jones said",10,"jones",4.27980326600347e-06,"said"
"jones the",6,"jones",2.56788195960208e-06,"the"
"jones was",8,"jones",3.42384261280277e-06,"was"
"jose reyes",5,"jose",2.13990163300173e-06,"reyes"
"joseph and",5,"joseph",2.13990163300173e-06,"and"
"josh hamilton",5,"josh",2.13990163300173e-06,"hamilton"
"joshua tree",5,"joshua",2.13990163300173e-06,"tree"
"journal and",5,"journal",2.13990163300173e-06,"and"
"journal constitution",6,"journal",2.56788195960208e-06,"constitution"
"journal of",10,"journal",4.27980326600347e-06,"of"
"journalists who",5,"journalists",2.13990163300173e-06,"who"
"journey and",6,"journey",2.56788195960208e-06,"and"
"journey is",5,"journey",2.13990163300173e-06,"is"
"journey of",6,"journey",2.56788195960208e-06,"of"
"journey to",8,"journey",3.42384261280277e-06,"to"
"joy and",11,"joy",4.70778359260381e-06,"and"
"joy i",5,"joy",2.13990163300173e-06,"i"
"joy in",12,"joy",5.13576391920416e-06,"in"
"joy of",18,"joy",7.70364587880624e-06,"of"
"joy that",6,"joy",2.56788195960208e-06,"that"
"joy to",9,"joy",3.85182293940312e-06,"to"
"jr and",15,"jr",6.4197048990052e-06,"and"
"jr is",5,"jr",2.13990163300173e-06,"is"
"judge a",11,"judge",4.70778359260381e-06,"a"
"judge and",6,"judge",2.56788195960208e-06,"and"
"judge in",6,"judge",2.56788195960208e-06,"in"
"judge me",8,"judge",3.42384261280277e-06,"me"
"judge on",5,"judge",2.13990163300173e-06,"on"
"judge ruled",5,"judge",2.13990163300173e-06,"ruled"
"judge the",11,"judge",4.70778359260381e-06,"the"
"judge to",5,"judge",2.13990163300173e-06,"to"
"judgement and",5,"judgement",2.13990163300173e-06,"and"
"judges are",5,"judges",2.13990163300173e-06,"are"
"judges the",5,"judges",2.13990163300173e-06,"the"
"judging by",8,"judging",3.42384261280277e-06,"by"
"juice and",15,"juice",6.4197048990052e-06,"and"
"july and",7,"july",2.99586228620243e-06,"and"
"july at",6,"july",2.56788195960208e-06,"at"
"july in",6,"july",2.56788195960208e-06,"in"
"july of",5,"july",2.13990163300173e-06,"of"
"july th",14,"july",5.99172457240486e-06,"th"
"july the",19,"july",8.13162620540659e-06,"the"
"july to",7,"july",2.99586228620243e-06,"to"
"july we",7,"july",2.99586228620243e-06,"we"
"july weekend",5,"july",2.13990163300173e-06,"weekend"
"jump from",5,"jump",2.13990163300173e-06,"from"
"jump in",9,"jump",3.85182293940312e-06,"in"
"jump into",6,"jump",2.56788195960208e-06,"into"
"jump off",8,"jump",3.42384261280277e-06,"off"
"jump on",11,"jump",4.70778359260381e-06,"on"
"jump out",5,"jump",2.13990163300173e-06,"out"
"jump to",9,"jump",3.85182293940312e-06,"to"
"jump up",5,"jump",2.13990163300173e-06,"up"
"jumped in",7,"jumped",2.99586228620243e-06,"in"
"jumped into",5,"jumped",2.13990163300173e-06,"into"
"jumped on",7,"jumped",2.99586228620243e-06,"on"
"jumped out",7,"jumped",2.99586228620243e-06,"out"
"jumped percent",6,"jumped",2.56788195960208e-06,"percent"
"jumper from",6,"jumper",2.56788195960208e-06,"from"
"jumping on",7,"jumping",2.99586228620243e-06,"on"
"june and",16,"june",6.84768522560555e-06,"and"
"june at",9,"june",3.85182293940312e-06,"at"
"june i",7,"june",2.99586228620243e-06,"i"
"june in",15,"june",6.4197048990052e-06,"in"
"june it",5,"june",2.13990163300173e-06,"it"
"june th",15,"june",6.4197048990052e-06,"th"
"june the",16,"june",6.84768522560555e-06,"the"
"june to",16,"june",6.84768522560555e-06,"to"
"junior and",5,"junior",2.13990163300173e-06,"and"
"junior high",7,"junior",2.99586228620243e-06,"high"
"junior seau",6,"junior",2.56788195960208e-06,"seau"
"junk food",5,"junk",2.13990163300173e-06,"food"
"jury found",5,"jury",2.13990163300173e-06,"found"
"jury is",5,"jury",2.13990163300173e-06,"is"
"jury was",6,"jury",2.56788195960208e-06,"was"
"just a",339,"just",0.000145085330717518,"a"
"just about",86,"just",3.68063080876298e-05,"about"
"just add",6,"just",2.56788195960208e-06,"add"
"just added",10,"just",4.27980326600347e-06,"added"
"just after",15,"just",6.4197048990052e-06,"after"
"just all",5,"just",2.13990163300173e-06,"all"
"just amazing",5,"just",2.13990163300173e-06,"amazing"
"just an",22,"just",9.41556718520763e-06,"an"
"just announced",5,"just",2.13990163300173e-06,"announced"
"just another",37,"just",1.58352720842128e-05,"another"
"just around",11,"just",4.70778359260381e-06,"around"
"just arrived",5,"just",2.13990163300173e-06,"arrived"
"just as",170,"just",7.2756655522059e-05,"as"
"just ask",12,"just",5.13576391920416e-06,"ask"
"just asked",13,"just",5.56374424580451e-06,"asked"
"just at",6,"just",2.56788195960208e-06,"at"
"just ate",11,"just",4.70778359260381e-06,"ate"
"just barely",5,"just",2.13990163300173e-06,"barely"
"just be",61,"just",2.61067999226212e-05,"be"
"just because",62,"just",2.65347802492215e-05,"because"
"just been",30,"just",1.28394097980104e-05,"been"
"just before",27,"just",1.15554688182094e-05,"before"
"just being",14,"just",5.99172457240486e-06,"being"
"just blew",6,"just",2.56788195960208e-06,"blew"
"just booked",9,"just",3.85182293940312e-06,"booked"
"just bought",24,"just",1.02715278384083e-05,"bought"
"just broke",7,"just",2.99586228620243e-06,"broke"
"just buy",9,"just",3.85182293940312e-06,"buy"
"just by",13,"just",5.56374424580451e-06,"by"
"just call",9,"just",3.85182293940312e-06,"call"
"just called",19,"just",8.13162620540659e-06,"called"
"just came",22,"just",9.41556718520763e-06,"came"
"just cant",46,"just",1.9687095023616e-05,"cant"
"just caught",6,"just",2.56788195960208e-06,"caught"
"just cause",9,"just",3.85182293940312e-06,"cause"
"just check",5,"just",2.13990163300173e-06,"check"
"just checked",5,"just",2.13990163300173e-06,"checked"
"just come",6,"just",2.56788195960208e-06,"come"
"just couldnt",11,"just",4.70778359260381e-06,"couldnt"
"just did",25,"just",1.06995081650087e-05,"did"
"just didnt",19,"just",8.13162620540659e-06,"didnt"
"just different",5,"just",2.13990163300173e-06,"different"
"just discovered",7,"just",2.99586228620243e-06,"discovered"
"just do",31,"just",1.32673901246108e-05,"do"
"just doesnt",12,"just",5.13576391920416e-06,"doesnt"
"just doing",7,"just",2.99586228620243e-06,"doing"
"just dont",74,"just",3.16705441684257e-05,"dont"
"just downloaded",5,"just",2.13990163300173e-06,"downloaded"
"just enough",16,"just",6.84768522560555e-06,"enough"
"just excited",7,"just",2.99586228620243e-06,"excited"
"just feel",10,"just",4.27980326600347e-06,"feel"
"just feels",5,"just",2.13990163300173e-06,"feels"
"just felt",10,"just",4.27980326600347e-06,"felt"
"just figured",7,"just",2.99586228620243e-06,"figured"
"just fine",23,"just",9.84354751180798e-06,"fine"
"just finished",79,"just",3.38104458014274e-05,"finished"
"just follow",9,"just",3.85182293940312e-06,"follow"
"just followed",8,"just",3.42384261280277e-06,"followed"
"just for",77,"just",3.29544851482267e-05,"for"
"just found",38,"just",1.62632524108132e-05,"found"
"just four",8,"just",3.42384261280277e-06,"four"
"just from",8,"just",3.42384261280277e-06,"from"
"just gave",18,"just",7.70364587880624e-06,"gave"
"just get",31,"just",1.32673901246108e-05,"get"
"just gets",5,"just",2.13990163300173e-06,"gets"
"just getting",30,"just",1.28394097980104e-05,"getting"
"just give",14,"just",5.99172457240486e-06,"give"
"just glad",9,"just",3.85182293940312e-06,"glad"
"just go",29,"just",1.24114294714101e-05,"go"
"just goes",7,"just",2.99586228620243e-06,"goes"
"just going",17,"just",7.2756655522059e-06,"going"
"just gonna",8,"just",3.42384261280277e-06,"gonna"
"just got",201,"just",8.60240456466697e-05,"got"
"just gotta",13,"just",5.56374424580451e-06,"gotta"
"just gotten",5,"just",2.13990163300173e-06,"gotten"
"just great",6,"just",2.56788195960208e-06,"great"
"just had",78,"just",3.33824654748271e-05,"had"
"just hanging",6,"just",2.56788195960208e-06,"hanging"
"just happened",14,"just",5.99172457240486e-06,"happened"
"just happens",5,"just",2.13990163300173e-06,"happens"
"just happy",6,"just",2.56788195960208e-06,"happy"
"just hate",6,"just",2.56788195960208e-06,"hate"
"just have",69,"just",2.95306425354239e-05,"have"
"just havent",5,"just",2.13990163300173e-06,"havent"
"just heard",28,"just",1.19834491448097e-05,"heard"
"just his",5,"just",2.13990163300173e-06,"his"
"just hit",17,"just",7.2756655522059e-06,"hit"
"just hope",11,"just",4.70778359260381e-06,"hope"
"just how",48,"just",2.05430556768166e-05,"how"
"just imagine",6,"just",2.56788195960208e-06,"imagine"
"just in",71,"just",3.03866031886246e-05,"in"
"just informed",5,"just",2.13990163300173e-06,"informed"
"just introduced",5,"just",2.13990163300173e-06,"introduced"
"just isnt",5,"just",2.13990163300173e-06,"isnt"
"just just",5,"just",2.13990163300173e-06,"just"
"just keep",29,"just",1.24114294714101e-05,"keep"
"just kept",14,"just",5.99172457240486e-06,"kept"
"just kidding",17,"just",7.2756655522059e-06,"kidding"
"just kill",5,"just",2.13990163300173e-06,"kill"
"just killed",10,"just",4.27980326600347e-06,"killed"
"just kind",10,"just",4.27980326600347e-06,"kind"
"just knew",8,"just",3.42384261280277e-06,"knew"
"just know",15,"just",6.4197048990052e-06,"know"
"just landed",7,"just",2.99586228620243e-06,"landed"
"just last",9,"just",3.85182293940312e-06,"last"
"just leave",6,"just",2.56788195960208e-06,"leave"
"just left",18,"just",7.70364587880624e-06,"left"
"just let",18,"just",7.70364587880624e-06,"let"
"just like",160,"just",6.84768522560555e-05,"like"
"just live",7,"just",2.99586228620243e-06,"live"
"just look",17,"just",7.2756655522059e-06,"look"
"just looked",6,"just",2.56788195960208e-06,"looked"
"just looking",10,"just",4.27980326600347e-06,"looking"
"just lost",6,"just",2.56788195960208e-06,"lost"
"just love",42,"just",1.79751737172146e-05,"love"
"just loved",6,"just",2.56788195960208e-06,"loved"
"just made",47,"just",2.01150753502163e-05,"made"
"just make",20,"just",8.55960653200694e-06,"make"
"just makes",19,"just",8.13162620540659e-06,"makes"
"just making",13,"just",5.56374424580451e-06,"making"
"just me",27,"just",1.15554688182094e-05,"me"
"just mean",5,"just",2.13990163300173e-06,"mean"
"just means",8,"just",3.42384261280277e-06,"means"
"just met",9,"just",3.85182293940312e-06,"met"
"just might",15,"just",6.4197048990052e-06,"might"
"just minutes",7,"just",2.99586228620243e-06,"minutes"
"just missed",9,"just",3.85182293940312e-06,"missed"
"just months",5,"just",2.13990163300173e-06,"months"
"just more",8,"just",3.42384261280277e-06,"more"
"just my",8,"just",3.42384261280277e-06,"my"
"just need",40,"just",1.71192130640139e-05,"need"
"just needed",10,"just",4.27980326600347e-06,"needed"
"just needs",6,"just",2.56788195960208e-06,"needs"
"just never",5,"just",2.13990163300173e-06,"never"
"just no",5,"just",2.13990163300173e-06,"no"
"just not",64,"just",2.73907409024222e-05,"not"
"just noticed",6,"just",2.56788195960208e-06,"noticed"
"just now",23,"just",9.84354751180798e-06,"now"
"just of",10,"just",4.27980326600347e-06,"of"
"just off",7,"just",2.99586228620243e-06,"off"
"just on",9,"just",3.85182293940312e-06,"on"
"just once",8,"just",3.42384261280277e-06,"once"
"just one",86,"just",3.68063080876298e-05,"one"
"just opened",5,"just",2.13990163300173e-06,"opened"
"just ordered",5,"just",2.13990163300173e-06,"ordered"
"just out",14,"just",5.99172457240486e-06,"out"
"just outside",10,"just",4.27980326600347e-06,"outside"
"just over",21,"just",8.98758685860728e-06,"over"
"just passed",9,"just",3.85182293940312e-06,"passed"
"just percent",9,"just",3.85182293940312e-06,"percent"
"just picked",11,"just",4.70778359260381e-06,"picked"
"just plain",11,"just",4.70778359260381e-06,"plain"
"just played",8,"just",3.42384261280277e-06,"played"
"just posted",7,"just",2.99586228620243e-06,"posted"
"just put",12,"just",5.13576391920416e-06,"put"
"just putting",6,"just",2.56788195960208e-06,"putting"
"just ran",10,"just",4.27980326600347e-06,"ran"
"just read",14,"just",5.99172457240486e-06,"read"
"just ready",5,"just",2.13990163300173e-06,"ready"
"just realized",13,"just",5.56374424580451e-06,"realized"
"just really",17,"just",7.2756655522059e-06,"really"
"just received",9,"just",3.85182293940312e-06,"received"
"just recently",5,"just",2.13990163300173e-06,"recently"
"just released",8,"just",3.42384261280277e-06,"released"
"just remember",13,"just",5.56374424580451e-06,"remember"
"just remembered",7,"just",2.99586228620243e-06,"remembered"
"just returned",6,"just",2.56788195960208e-06,"returned"
"just right",13,"just",5.56374424580451e-06,"right"
"just run",5,"just",2.13990163300173e-06,"run"
"just sad",6,"just",2.56788195960208e-06,"sad"
"just said",29,"just",1.24114294714101e-05,"said"
"just sat",7,"just",2.99586228620243e-06,"sat"
"just saw",81,"just",3.46664064546281e-05,"saw"
"just say",49,"just",2.0971036003417e-05,"say"
"just sayin",19,"just",8.13162620540659e-06,"sayin"
"just saying",24,"just",1.02715278384083e-05,"saying"
"just see",5,"just",2.13990163300173e-06,"see"
"just seemed",5,"just",2.13990163300173e-06,"seemed"
"just seems",11,"just",4.70778359260381e-06,"seems"
"just seen",10,"just",4.27980326600347e-06,"seen"
"just sent",7,"just",2.99586228620243e-06,"sent"
"just set",5,"just",2.13990163300173e-06,"set"
"just show",6,"just",2.56788195960208e-06,"show"
"just sit",13,"just",5.56374424580451e-06,"sit"
"just sitting",7,"just",2.99586228620243e-06,"sitting"
"just six",6,"just",2.56788195960208e-06,"six"
"just so",54,"just",2.31109376364187e-05,"so"
"just some",11,"just",4.70778359260381e-06,"some"
"just something",8,"just",3.42384261280277e-06,"something"
"just spent",9,"just",3.85182293940312e-06,"spent"
"just started",32,"just",1.36953704512111e-05,"started"
"just starting",6,"just",2.56788195960208e-06,"starting"
"just stay",5,"just",2.13990163300173e-06,"stay"
"just stick",6,"just",2.56788195960208e-06,"stick"
"just stop",13,"just",5.56374424580451e-06,"stop"
"just stopped",7,"just",2.99586228620243e-06,"stopped"
"just take",24,"just",1.02715278384083e-05,"take"
"just taking",6,"just",2.56788195960208e-06,"taking"
"just talking",7,"just",2.99586228620243e-06,"talking"
"just tapped",6,"just",2.56788195960208e-06,"tapped"
"just tell",10,"just",4.27980326600347e-06,"tell"
"just text",6,"just",2.56788195960208e-06,"text"
"just that",32,"just",1.36953704512111e-05,"that"
"just the",133,"just",5.69213834378461e-05,"the"
"just then",6,"just",2.56788195960208e-06,"then"
"just think",25,"just",1.06995081650087e-05,"think"
"just thinking",9,"just",3.85182293940312e-06,"thinking"
"just this",12,"just",5.13576391920416e-06,"this"
"just thought",19,"just",8.13162620540659e-06,"thought"
"just three",12,"just",5.13576391920416e-06,"three"
"just throw",6,"just",2.56788195960208e-06,"throw"
"just tired",5,"just",2.13990163300173e-06,"tired"
"just to",114,"just",4.87897572324395e-05,"to"
"just told",18,"just",7.70364587880624e-06,"told"
"just too",19,"just",8.13162620540659e-06,"too"
"just took",18,"just",7.70364587880624e-06,"took"
"just tried",7,"just",2.99586228620243e-06,"tried"
"just try",9,"just",3.85182293940312e-06,"try"
"just trying",30,"just",1.28394097980104e-05,"trying"
"just turned",10,"just",4.27980326600347e-06,"turned"
"just two",17,"just",7.2756655522059e-06,"two"
"just under",18,"just",7.70364587880624e-06,"under"
"just until",6,"just",2.56788195960208e-06,"until"
"just us",5,"just",2.13990163300173e-06,"us"
"just use",6,"just",2.56788195960208e-06,"use"
"just used",5,"just",2.13990163300173e-06,"used"
"just wait",11,"just",4.70778359260381e-06,"wait"
"just waiting",11,"just",4.70778359260381e-06,"waiting"
"just walked",17,"just",7.2756655522059e-06,"walked"
"just wanna",24,"just",1.02715278384083e-05,"wanna"
"just want",82,"just",3.50943867812284e-05,"want"
"just wanted",50,"just",2.13990163300173e-05,"wanted"
"just wasnt",8,"just",3.42384261280277e-06,"wasnt"
"just watch",6,"just",2.56788195960208e-06,"watch"
"just watched",33,"just",1.41233507778114e-05,"watched"
"just went",22,"just",9.41556718520763e-06,"went"
"just what",33,"just",1.41233507778114e-05,"what"
"just when",15,"just",6.4197048990052e-06,"when"
"just wish",8,"just",3.42384261280277e-06,"wish"
"just with",6,"just",2.56788195960208e-06,"with"
"just woke",12,"just",5.13576391920416e-06,"woke"
"just won",14,"just",5.99172457240486e-06,"won"
"just work",5,"just",2.13990163300173e-06,"work"
"just wow",8,"just",3.42384261280277e-06,"wow"
"just wrong",8,"just",3.42384261280277e-06,"wrong"
"just wrote",7,"just",2.99586228620243e-06,"wrote"
"just yet",8,"just",3.42384261280277e-06,"yet"
"just you",10,"just",4.27980326600347e-06,"you"
"justice and",13,"justice",5.56374424580451e-06,"and"
"justice department",11,"justice",4.70778359260381e-06,"department"
"justice is",7,"justice",2.99586228620243e-06,"is"
"justice of",5,"justice",2.13990163300173e-06,"of"
"justice system",14,"justice",5.99172457240486e-06,"system"
"justice to",8,"justice",3.42384261280277e-06,"to"
"justified in",5,"justified",2.13990163300173e-06,"in"
"justin bieber",38,"justin",1.62632524108132e-05,"bieber"
"justin blackmon",5,"justin",2.13990163300173e-06,"blackmon"
"justin timberlake",6,"justin",2.56788195960208e-06,"timberlake"
"juvenile detention",5,"juvenile",2.13990163300173e-06,"detention"
"kale and",5,"kale",2.13990163300173e-06,"and"
"kansas city",56,"kansas",2.39668982896194e-05,"city"
"kanye west",8,"kanye",3.42384261280277e-06,"west"
"kaplan said",5,"kaplan",2.13990163300173e-06,"said"
"kate and",5,"kate",2.13990163300173e-06,"and"
"katy perry",5,"katy",2.13990163300173e-06,"perry"
"keen on",7,"keen",2.99586228620243e-06,"on"
"keen to",6,"keen",2.56788195960208e-06,"to"
"keep a",25,"keep",1.06995081650087e-05,"a"
"keep all",10,"keep",4.27980326600347e-06,"all"
"keep an",14,"keep",5.99172457240486e-06,"an"
"keep asking",6,"keep",2.56788195960208e-06,"asking"
"keep at",7,"keep",2.99586228620243e-06,"at"
"keep checking",8,"keep",3.42384261280277e-06,"checking"
"keep coming",6,"keep",2.56788195960208e-06,"coming"
"keep doing",13,"keep",5.56374424580451e-06,"doing"
"keep getting",13,"keep",5.56374424580451e-06,"getting"
"keep going",30,"keep",1.28394097980104e-05,"going"
"keep her",7,"keep",2.99586228620243e-06,"her"
"keep him",17,"keep",7.2756655522059e-06,"him"
"keep his",19,"keep",8.13162620540659e-06,"his"
"keep in",23,"keep",9.84354751180798e-06,"in"
"keep it",106,"keep",4.53659146196368e-05,"it"
"keep its",7,"keep",2.99586228620243e-06,"its"
"keep me",37,"keep",1.58352720842128e-05,"me"
"keep moving",6,"keep",2.56788195960208e-06,"moving"
"keep my",35,"keep",1.49793114310121e-05,"my"
"keep on",23,"keep",9.84354751180798e-06,"on"
"keep our",10,"keep",4.27980326600347e-06,"our"
"keep people",6,"keep",2.56788195960208e-06,"people"
"keep pushing",6,"keep",2.56788195960208e-06,"pushing"
"keep reading",6,"keep",2.56788195960208e-06,"reading"
"keep saying",5,"keep",2.13990163300173e-06,"saying"
"keep seeing",5,"keep",2.13990163300173e-06,"seeing"
"keep talking",5,"keep",2.13990163300173e-06,"talking"
"keep that",13,"keep",5.56374424580451e-06,"that"
"keep the",90,"keep",3.85182293940312e-05,"the"
"keep their",19,"keep",8.13162620540659e-06,"their"
"keep them",23,"keep",9.84354751180798e-06,"them"
"keep things",9,"keep",3.85182293940312e-06,"things"
"keep this",17,"keep",7.2756655522059e-06,"this"
"keep those",6,"keep",2.56788195960208e-06,"those"
"keep track",6,"keep",2.56788195960208e-06,"track"
"keep trying",5,"keep",2.13990163300173e-06,"trying"
"keep up",64,"keep",2.73907409024222e-05,"up"
"keep us",19,"keep",8.13162620540659e-06,"us"
"keep warm",6,"keep",2.56788195960208e-06,"warm"
"keep working",8,"keep",3.42384261280277e-06,"working"
"keep you",46,"keep",1.9687095023616e-05,"you"
"keep your",49,"keep",2.0971036003417e-05,"your"
"keeping a",8,"keeping",3.42384261280277e-06,"a"
"keeping an",8,"keeping",3.42384261280277e-06,"an"
"keeping it",13,"keeping",5.56374424580451e-06,"it"
"keeping me",13,"keeping",5.56374424580451e-06,"me"
"keeping my",6,"keeping",2.56788195960208e-06,"my"
"keeping the",22,"keeping",9.41556718520763e-06,"the"
"keeping them",5,"keeping",2.13990163300173e-06,"them"
"keeping up",20,"keeping",8.55960653200694e-06,"up"
"keeping with",9,"keeping",3.85182293940312e-06,"with"
