"bg","N","w1","prob","w2"
"a cigarette",10,"a",4.27980326600347e-06,"cigarette"
"a circle",9,"a",3.85182293940312e-06,"circle"
"a circus",6,"a",2.56788195960208e-06,"circus"
"a city",51,"a",2.18269966566177e-05,"city"
"a civil",13,"a",5.56374424580451e-06,"civil"
"a civilian",6,"a",2.56788195960208e-06,"civilian"
"a claim",6,"a",2.56788195960208e-06,"claim"
"a class",37,"a",1.58352720842128e-05,"class"
"a classic",33,"a",1.41233507778114e-05,"classic"
"a clean",12,"a",5.13576391920416e-06,"clean"
"a clear",31,"a",1.32673901246108e-05,"clear"
"a cleveland",10,"a",4.27980326600347e-06,"cleveland"
"a clever",5,"a",2.13990163300173e-06,"clever"
"a client",17,"a",7.2756655522059e-06,"client"
"a cliff",5,"a",2.13990163300173e-06,"cliff"
"a close",32,"a",1.36953704512111e-05,"close"
"a closed",10,"a",4.27980326600347e-06,"closed"
"a closer",7,"a",2.99586228620243e-06,"closer"
"a closet",9,"a",3.85182293940312e-06,"closet"
"a closing",5,"a",2.13990163300173e-06,"closing"
"a clothing",5,"a",2.13990163300173e-06,"clothing"
"a cloud",7,"a",2.99586228620243e-06,"cloud"
"a clown",8,"a",3.42384261280277e-06,"clown"
"a club",17,"a",7.2756655522059e-06,"club"
"a clue",16,"a",6.84768522560555e-06,"clue"
"a co",23,"a",9.84354751180798e-06,"co"
"a coach",14,"a",5.99172457240486e-06,"coach"
"a coalition",9,"a",3.85182293940312e-06,"coalition"
"a cocktail",10,"a",4.27980326600347e-06,"cocktail"
"a coffee",20,"a",8.55960653200694e-06,"coffee"
"a coincidence",8,"a",3.42384261280277e-06,"coincidence"
"a cold",35,"a",1.49793114310121e-05,"cold"
"a collaboration",5,"a",2.13990163300173e-06,"collaboration"
"a collaborative",7,"a",2.99586228620243e-06,"collaborative"
"a colleague",7,"a",2.99586228620243e-06,"colleague"
"a collection",20,"a",8.55960653200694e-06,"collection"
"a collective",6,"a",2.56788195960208e-06,"collective"
"a college",31,"a",1.32673901246108e-05,"college"
"a color",10,"a",4.27980326600347e-06,"color"
"a coma",9,"a",3.85182293940312e-06,"coma"
"a combination",28,"a",1.19834491448097e-05,"combination"
"a combined",15,"a",6.4197048990052e-06,"combined"
"a come",7,"a",2.99586228620243e-06,"come"
"a comeback",10,"a",4.27980326600347e-06,"comeback"
"a comedy",13,"a",5.56374424580451e-06,"comedy"
"a comfortable",5,"a",2.13990163300173e-06,"comfortable"
"a comic",8,"a",3.42384261280277e-06,"comic"
"a comment",39,"a",1.66912327374135e-05,"comment"
"a commercial",11,"a",4.70778359260381e-06,"commercial"
"a commission",5,"a",2.13990163300173e-06,"commission"
"a commitment",6,"a",2.56788195960208e-06,"commitment"
"a committee",6,"a",2.56788195960208e-06,"committee"
"a common",21,"a",8.98758685860728e-06,"common"
"a community",37,"a",1.58352720842128e-05,"community"
"a companion",6,"a",2.56788195960208e-06,"companion"
"a company",46,"a",1.9687095023616e-05,"company"
"a comparable",6,"a",2.56788195960208e-06,"comparable"
